asset,metric,phase,feature,importance
bitcoin,stockprice,full,scores__Extroversion,0.0010213852
bitcoin,stockprice,full,scores__Neuroticism,-0.0013036728
bitcoin,stockprice,full,scores__Agreeableness,0.00023174286
bitcoin,stockprice,full,scores__Conscientiousness,-0.000869751
bitcoin,stockprice,full,scores__Openness,0.0005760193
bitcoin,stockprice,full,scores__arts_culture,-0.0044994354
bitcoin,stockprice,full,scores__business_entrepreneurs,-0.0007839203
bitcoin,stockprice,full,scores__celebrity_pop_culture,0.002527237
bitcoin,stockprice,full,scores__diaries_daily_life,-0.0031194687
bitcoin,stockprice,full,scores__family,-0.0052480698
bitcoin,stockprice,full,scores__fashion_style,0.0055885315
bitcoin,stockprice,full,scores__film_tv_video,0.0028066635
bitcoin,stockprice,full,scores__fitness_&_health,-0.010310173
bitcoin,stockprice,full,scores__food_&_dining,-0.010979652
bitcoin,stockprice,full,scores__gaming,0.0019836426
bitcoin,stockprice,full,scores__learning_educational,0.008690834
bitcoin,stockprice,full,scores__music,-0.0020122528
bitcoin,stockprice,full,scores__other_hobbies,0.000166893
bitcoin,stockprice,full,scores__relationships,0.0034151077
bitcoin,stockprice,full,scores__science_technology,0.0029592514
bitcoin,stockprice,full,scores__sports,-0.021885872
bitcoin,stockprice,full,scores__travel_adventure,-0.002863884
bitcoin,stockprice,full,scores__youth_student_life,-0.003821373
bitcoin,stockprice,full,counts__tweet_count,-0.038485527
bitcoin,stockprice,full,counts__nlp_tweet_count,0.0070648193
bitcoin,stockprice,full,counts__tesla,-0.015188217
bitcoin,stockprice,full,counts__stock,0.0026741028
bitcoin,stockprice,full,counts__market,-0.0026369095
bitcoin,stockprice,full,counts__price,-0.0014333725
bitcoin,stockprice,full,counts__profit,0.006222725
bitcoin,stockprice,full,counts__loss,0.00022506714
bitcoin,stockprice,full,counts__revenue,-0.03033638
bitcoin,stockprice,full,counts__inflation,-0.0062322617
bitcoin,stockprice,full,counts__interest,-0.0030202866
bitcoin,stockprice,full,counts__bitcoin,0.0011234283
bitcoin,stockprice,full,counts__dogecoin,0.0012798309
bitcoin,stockprice,full,counts__crypto,0.00060367584
bitcoin,stockprice,full,counts__ethereum,0.0
bitcoin,stockprice,full,counts__spacex,0.007853508
bitcoin,stockprice,full,counts__model,0.005238533
bitcoin,stockprice,full,counts__cybertruck,0.0035219193
bitcoin,stockprice,full,counts__starship,0.0028362274
bitcoin,stockprice,full,counts__buy,-0.0056352615
bitcoin,stockprice,full,counts__sell,0.00178051
bitcoin,stockprice,full,counts__likeCount,0.048241615
bitcoin,stockprice,full,counts__quoteCount,-0.01789093
bitcoin,stockprice,full,counts__retweetCount,-0.0060796738
bitcoin,stockprice,full,counts__replyCount,-0.0012674332
bitcoin,stockprice,full,scores__neg,0.020160675
bitcoin,stockprice,full,scores__neu,-0.02600956
bitcoin,stockprice,full,scores__pos,0.013977051
bitcoin,stockprice,full,scores__anger,0.01798439
bitcoin,stockprice,full,scores__disgust,-0.021970749
bitcoin,stockprice,full,scores__fear,-0.007071495
bitcoin,stockprice,full,scores__joy,0.022172928
bitcoin,stockprice,full,scores__neutral,-0.002793312
bitcoin,stockprice,full,scores__sadness,-0.016861916
bitcoin,stockprice,full,scores__surprise,-0.010322571
bitcoin,stockprice,full,scores__news_social_concern,-0.02376461
bitcoin,stockprice,full,binary__no_tweets,0.00039291382
bitcoin,stockprice,phase1,scores__Extroversion,-0.034439087
bitcoin,stockprice,phase1,scores__Neuroticism,0.0053215027
